epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,5190.33,0.3695,1.07617,0.25824,0.89231,0.99883,0.99649,0.99491,0.96841,0.73977,0.73878,0.68063,0.65697,0.28292,0.95855,0.19358,0.85096,0.000552612,0.000552612,0.000552612
104,5242.2,0.37141,1.09064,0.26941,0.89951,0.99664,0.99195,0.99483,0.96625,0.73007,0.72656,0.68439,0.66122,0.27577,0.99867,0.20005,0.85119,0.000549863,0.000549863,0.000549863
105,5291.7,0.36708,1.07366,0.26119,0.89886,0.99432,0.99289,0.99461,0.96628,0.74393,0.74323,0.6899,0.65212,0.28507,0.98652,0.20289,0.85304,0.000547114,0.000547114,0.000547114
106,5342.16,0.3664,1.07685,0.26407,0.89646,0.99613,0.9944,0.99484,0.96873,0.75603,0.75462,0.70479,0.67281,0.28344,0.93216,0.1998,0.84826,0.000544365,0.000544365,0.000544365
107,5392.19,0.36998,1.06677,0.27012,0.89426,0.99384,0.9897,0.99463,0.96714,0.73638,0.74122,0.68754,0.65791,0.29167,0.95266,0.20196,0.85435,0.000541617,0.000541617,0.000541617
108,5442.65,0.37265,1.09924,0.26212,0.89639,0.99452,0.98639,0.9946,0.96945,0.74705,0.74446,0.69372,0.66386,0.27113,0.93911,0.19412,0.8489,0.000538868,0.000538868,0.000538868
109,5493.98,0.37049,1.09391,0.26423,0.89747,0.99505,0.99305,0.99483,0.9716,0.74095,0.74275,0.68769,0.66327,0.26458,0.95379,0.18738,0.84521,0.000536119,0.000536119,0.000536119
110,5545.4,0.37556,1.09736,0.27564,0.90018,0.99904,0.99616,0.99497,0.96859,0.73311,0.73108,0.68391,0.6569,0.27423,0.95086,0.19171,0.85008,0.00053337,0.00053337,0.00053337
111,5596.26,0.36706,1.09442,0.25569,0.89661,0.99512,0.9955,0.99495,0.96956,0.75891,0.75934,0.70298,0.67415,0.27693,0.91287,0.19142,0.8472,0.000530621,0.000530621,0.000530621
112,5648.15,0.36768,1.05655,0.26613,0.89916,0.99811,0.99468,0.99488,0.97076,0.74975,0.74733,0.69797,0.67303,0.27113,0.93583,0.18405,0.84482,0.000527872,0.000527872,0.000527872
113,5699.36,0.36536,1.05668,0.2595,0.89544,0.9968,0.99123,0.99468,0.96692,0.74699,0.74366,0.69768,0.6703,0.27841,0.93643,0.19523,0.84693,0.000525123,0.000525123,0.000525123
114,5749.77,0.37539,1.06828,0.26544,0.90119,0.99696,0.99466,0.99483,0.96971,0.74814,0.74862,0.70033,0.67297,0.27912,0.95785,0.19337,0.84487,0.000522374,0.000522374,0.000522374
115,5798.85,0.36811,1.06156,0.2589,0.89728,0.99748,0.99629,0.99471,0.97165,0.74547,0.74502,0.69994,0.67391,0.27281,0.98225,0.19205,0.84546,0.000519625,0.000519625,0.000519625
116,5849.6,0.37125,1.06655,0.25854,0.89783,0.99765,0.99263,0.99483,0.97143,0.7341,0.73092,0.69215,0.66684,0.27811,1.013,0.1932,0.84867,0.000516877,0.000516877,0.000516877
117,5902.7,0.36713,1.08767,0.26338,0.89561,0.99477,0.99487,0.99488,0.97287,0.74617,0.74659,0.69829,0.67016,0.2701,0.94624,0.18807,0.84486,0.000514128,0.000514128,0.000514128
118,5954.68,0.36376,1.08075,0.2614,0.89699,0.99436,0.99274,0.99486,0.97173,0.74376,0.73873,0.68874,0.66728,0.27035,0.93604,0.19672,0.84723,0.000511379,0.000511379,0.000511379
119,6006.59,0.36941,1.06913,0.26472,0.89673,0.99643,0.99337,0.99475,0.97064,0.75518,0.75368,0.69768,0.67492,0.27088,0.9029,0.18835,0.84505,0.00050863,0.00050863,0.00050863
120,6055.44,0.36568,1.06511,0.26108,0.89482,0.99506,0.99112,0.99458,0.97285,0.74057,0.73707,0.68883,0.66427,0.25977,0.95863,0.19483,0.83658,0.000505881,0.000505881,0.000505881
121,6105.01,0.37275,1.04665,0.26456,0.90362,0.99576,0.99181,0.99429,0.96797,0.74172,0.73916,0.69245,0.6674,0.27672,1.02934,0.19804,0.84843,0.000503132,0.000503132,0.000503132
122,6154.36,0.36578,1.07588,0.26573,0.8978,0.99396,0.99321,0.99493,0.97201,0.73821,0.73798,0.68289,0.65669,0.27314,0.96361,0.1958,0.84634,0.000500383,0.000500383,0.000500383
123,6205.88,0.36285,1.06306,0.26047,0.89408,0.99801,0.99246,0.99482,0.97441,0.73883,0.73639,0.6923,0.67091,0.26425,0.98275,0.18715,0.84044,0.000497634,0.000497634,0.000497634
